Date,Price,Open,High,Low,Vol.,Change %
23-Apr-23,"27,591.40","27,813.80","27,815.00","27,388.50",41.77K,-0.80%
22-Apr-23,"27,813.90","27,264.80","27,872.00","27,165.70",44.30K,2.01%
21-Apr-23,"27,264.80","28,240.50","28,353.40","27,171.10",98.72K,-3.46%
20-Apr-23,"28,240.50","28,813.70","29,082.10","28,032.40",95.45K,-1.99%
19-Apr-23,"28,813.70","30,382.20","30,408.40","28,641.10",111.27K,-5.16%
18-Apr-23,"30,382.20","29,434.10","30,470.10","29,149.20",76.58K,3.22%
17-Apr-23,"29,434.90","30,310.80","30,312.20","29,274.00",71.90K,-2.89%
16-Apr-23,"30,310.30","30,299.20","30,545.30","30,134.60",34.48K,0.04%
15-Apr-23,"30,299.60","30,472.60","30,586.50","30,208.80",31.71K,-0.57%
14-Apr-23,"30,472.50","30,387.40","30,964.90","30,026.00",98.38K,0.28%
13-Apr-23,"30,387.40","29,892.40","30,524.10","29,864.50",65.87K,1.68%
12-Apr-23,"29,886.40","30,209.80","30,473.00","29,679.50",78.69K,-1.07%
11-Apr-23,"30,209.60","29,641.00","30,484.60","29,597.80",89.38K,1.92%
10-Apr-23,"29,641.00","28,326.50","29,755.40","28,182.90",85.73K,4.64%
9-Apr-23,"28,326.60","27,941.20","28,522.70","27,809.20",39.35K,1.38%
8-Apr-23,"27,941.20","27,910.40","28,153.10","27,863.80",23.73K,0.11%
7-Apr-23,"27,910.40","28,037.60","28,102.50","27,779.40",30.94K,-0.45%
6-Apr-23,"28,036.70","28,173.50","28,173.50","27,734.50",51.29K,-0.49%
5-Apr-23,"28,173.50","28,164.40","28,744.40","27,823.50",77.32K,0.03%
4-Apr-23,"28,164.40","27,802.20","28,429.10","27,668.90",64.06K,1.30%
3-Apr-23,"27,802.10","28,194.70","28,458.40","27,256.90",98.00K,-1.41%
2-Apr-23,"28,198.30","28,456.10","28,522.80","27,871.70",45.04K,-0.91%
1-Apr-23,"28,456.10","28,473.70","28,795.10","28,285.60",38.09K,-0.06%
31-Mar-23,"28,473.70","28,029.30","28,646.30","27,587.50",98.44K,1.58%
30-Mar-23,"28,029.50","28,350.30","29,160.40","27,716.70",122.51K,-1.13%
29-Mar-23,"28,350.40","27,262.90","28,627.40","27,249.80",109.32K,3.99%
28-Mar-23,"27,262.20","27,127.80","27,465.00","26,665.60",94.16K,0.49%
27-Mar-23,"27,129.80","27,974.80","28,023.30","26,611.50",107.24K,-3.02%
26-Mar-23,"27,973.50","27,474.90","28,153.70","27,429.10",60.64K,1.81%
25-Mar-23,"27,475.60","27,462.20","27,761.90","27,176.70",61.36K,0.05%
24-Mar-23,"27,462.20","28,306.90","28,374.50","27,026.50",110.36K,-3.00%
23-Mar-23,"28,310.70","27,262.80","28,734.10","27,144.60",158.46K,3.85%
